Worker,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
worker 1,2026-07-27 13:06:52.445,-0.15,-0.2,1.12,16.6,-19.71,3.36
worker 1,2026-07-27 13:06:52.446,-0.03,-0.24,1.07,16.6,-19.71,3.36
worker 1,2026-07-27 13:06:52.446,0.06,-0.25,0.96,-16.78,-28.44,3.05
worker 1,2026-07-27 13:06:52.504,0.06,-0.25,0.96,-16.78,-28.44,3.05
worker 1,2026-07-27 13:06:52.506,0.03,-0.19,0.94,-25.21,-24.54,18.01
worker 1,2026-07-27 13:06:52.564,-0.04,-0.11,0.98,-3.3,-12.02,28.81
worker 1,2026-07-27 13:06:52.624,-0.04,-0.11,0.98,-3.3,-12.02,28.81
worker 1,2026-07-27 13:06:52.625,-0.08,-0.06,0.99,23.8,-0.49,31.86
worker 1,2026-07-27 13:06:52.625,-0.09,-0.07,0.97,34.12,5.0,23.56
worker 1,2026-07-27 13:06:52.626,-0.09,-0.07,0.97,34.12,5.0,23.56
worker 1,2026-07-27 13:06:52.688,-0.06,-0.09,0.97,27.28,2.93,10.07
worker 1,2026-07-27 13:06:52.689,-0.06,-0.09,0.97,27.28,2.93,10.07
worker 1,2026-07-27 13:06:52.689,-0.02,-0.1,1.0,13.06,-2.62,1.59
worker 1,2026-07-27 13:06:52.744,-0.02,-0.1,1.0,13.06,-2.62,1.59
worker 1,2026-07-27 13:06:52.745,-0.0,-0.11,1.0,2.81,-5.19,1.4
worker 1,2026-07-27 13:06:52.804,-0.0,-0.11,1.0,2.81,-5.19,1.4
worker 1,2026-07-27 13:06:52.804,-0.01,-0.1,0.98,1.34,-3.11,3.66
worker 1,2026-07-27 13:06:52.805,-0.02,-0.09,0.98,4.46,-1.95,4.82
worker 1,2026-07-27 13:06:52.864,-0.02,-0.09,0.98,4.46,-1.95,4.82
worker 1,2026-07-27 13:06:52.871,-0.02,-0.09,1.0,6.71,-2.69,4.46
worker 1,2026-07-27 13:06:52.924,-0.02,-0.08,1.0,7.39,-2.32,4.03
worker 1,2026-07-27 13:06:52.942,-0.02,-0.08,1.0,7.39,-2.32,4.03
worker 1,2026-07-27 13:06:52.987,-0.02,-0.08,0.99,6.53,-0.55,3.72
worker 1,2026-07-27 13:06:52.989,-0.02,-0.08,0.99,6.53,-0.55,3.72
worker 1,2026-07-27 13:06:52.989,-0.02,-0.07,0.98,5.74,0.18,3.66
worker 1,2026-07-27 13:06:53.044,-0.02,-0.07,0.98,5.74,0.18,3.66
worker 1,2026-07-27 13:06:53.045,-0.02,-0.06,0.99,5.43,-0.67,3.78
worker 1,2026-07-27 13:06:53.046,-0.02,-0.06,0.99,4.82,-1.83,3.97
worker 1,2026-07-27 13:06:53.104,-0.02,-0.06,0.99,4.82,-1.83,3.97
worker 1,2026-07-27 13:06:53.105,-0.03,-0.05,0.99,3.72,-2.2,3.48
worker 1,2026-07-27 13:06:53.173,-0.02,-0.05,0.99,2.69,-2.75,1.89
worker 1,2026-07-27 13:06:53.174,-0.02,-0.05,0.99,2.69,-2.75,1.89
worker 1,2026-07-27 13:06:53.226,-0.01,-0.06,1.0,2.14,-3.72,0.79
